country,location,lat,lon,year,sampleID,sampleNo,folder,picname
France,Ile de Batz,48.75,-4.01,1972,1,1,France_Ile_de_Batz_1971,ID1-1
France,Ile de Batz,48.75,-4.01,1972,1,2,France_Ile_de_Batz_1971,ID1-2
France,Ile de Batz,48.75,-4.01,1972,1,3,France_Ile_de_Batz_1971,ID1-3
France,Ile de Batz,48.75,-4.01,1972,1,4,France_Ile_de_Batz_1971,ID1-4
France,Ile de Batz,48.75,-4.01,1972,1,5,France_Ile_de_Batz_1971,ID1-5
France,Ile de Batz,48.75,-4.01,1972,1,6,France_Ile_de_Batz_1971,ID1-6
France,Ile de Batz,48.75,-4.01,1972,1,7,France_Ile_de_Batz_1971,ID1-7
France,Ile de Batz,48.75,-4.01,1972,1,8,France_Ile_de_Batz_1971,ID1-8
France,Ile de Batz,48.75,-4.01,1972,1,9,France_Ile_de_Batz_1971,ID1-9
France,Ile de Batz,48.75,-4.01,1972,1,10,France_Ile_de_Batz_1971,ID1-10
France,Ile de Batz,48.75,-4.01,1972,1,11,France_Ile_de_Batz_1971,ID1-11
France,Ile de Batz,48.75,-4.01,1972,1,12,France_Ile_de_Batz_1971,ID1-12
France,Ile de Batz,48.75,-4.01,1972,1,13,France_Ile_de_Batz_1971,ID1-13
France,Ile de Batz,48.75,-4.01,1972,1,14,France_Ile_de_Batz_1971,ID1-14
France,Ile de Batz,48.75,-4.01,1972,1,15,France_Ile_de_Batz_1971,ID1-15
France,Ile de Batz,48.75,-4.01,1972,1,16,France_Ile_de_Batz_1971,ID1-16
France,Ile de Batz,48.75,-4.01,1972,1,17,France_Ile_de_Batz_1971,ID1-17
France,Ile de Batz,48.75,-4.01,1972,1,18,France_Ile_de_Batz_1971,ID1-18
France,Ile de Batz,48.75,-4.01,1972,1,19,France_Ile_de_Batz_1971,ID1-19
France,Ile de Batz,48.75,-4.01,1972,1,20,France_Ile_de_Batz_1971,ID1-20
France,Ile de Batz,48.75,-4.01,1972,1,21,France_Ile_de_Batz_1971,ID1-21
France,Ile de Batz,48.75,-4.01,1972,1,22,France_Ile_de_Batz_1971,ID1-22
France,Ile de Batz,48.75,-4.01,1972,1,23,France_Ile_de_Batz_1971,ID1-23
France,Ile de Batz,48.75,-4.01,1972,1,24,France_Ile_de_Batz_1971,ID1-24
France,Ile de Batz,48.75,-4.01,1972,1,25,France_Ile_de_Batz_1971,ID1-25
France,Ile de Batz,48.75,-4.01,1972,1,26,France_Ile_de_Batz_1971,ID1-26
France,Ile de Batz,48.75,-4.01,1972,1,27,France_Ile_de_Batz_1971,ID1-27
France,Ile de Batz,48.75,-4.01,1972,1,28,France_Ile_de_Batz_1971,ID1-28
France,Ile de Batz,48.75,-4.01,1972,1,29,France_Ile_de_Batz_1971,ID1-29
France,Ile de Batz,48.75,-4.01,1972,1,30,France_Ile_de_Batz_1971,ID1-30
France,Ile de Batz,48.75,-4.01,1972,1,31,France_Ile_de_Batz_1971,ID1-31
France,Ile de Batz,48.75,-4.01,1972,1,32,France_Ile_de_Batz_1971,ID1-32
France,Ile de Batz,48.75,-4.01,1972,1,33,France_Ile_de_Batz_1971,ID1-33
France,Ile de Batz,48.75,-4.01,1972,1,34,France_Ile_de_Batz_1971,ID1-34
France,Ile de Batz,48.75,-4.01,1972,1,35,France_Ile_de_Batz_1971,ID1-35
France,Ile de Batz,48.75,-4.01,1972,1,36,France_Ile_de_Batz_1971,ID1-36
France,Ile de Batz,48.75,-4.01,1972,1,37,France_Ile_de_Batz_1971,ID1-37
France,Ile de Batz,48.75,-4.01,1972,1,38,France_Ile_de_Batz_1971,ID1-38
France,Ile de Batz,48.75,-4.01,1972,1,39,France_Ile_de_Batz_1971,ID1-39
France,Ile de Batz,48.75,-4.01,1972,1,40,France_Ile_de_Batz_1971,ID1-40
France,Ile de Batz,48.75,-4.01,1972,1,41,France_Ile_de_Batz_1971,ID1-41
France,Ile de Batz,48.75,-4.01,1972,1,42,France_Ile_de_Batz_1971,ID1-42
France,Ile de Batz,48.75,-4.01,1972,1,43,France_Ile_de_Batz_1971,ID1-43
France,Ile de Batz,48.75,-4.01,1972,1,44,France_Ile_de_Batz_1971,ID1-44
France,Ile de Batz,48.75,-4.01,1972,1,45,France_Ile_de_Batz_1971,ID1-45
France,Ile de Batz,48.75,-4.01,1972,1,46,France_Ile_de_Batz_1971,ID1-46
France,Ile de Batz,48.75,-4.01,1972,1,47,France_Ile_de_Batz_1971,ID1-47
France,Ile de Batz,48.75,-4.01,1972,1,48,France_Ile_de_Batz_1971,ID1-48
France,Ile de Batz,48.75,-4.01,1972,1,49,France_Ile_de_Batz_1971,ID1-49
France,Ile de Batz,48.75,-4.01,1972,1,50,France_Ile_de_Batz_1971,ID1-50
France,Ile de Batz,48.75,-4.01,1972,1,51,France_Ile_de_Batz_1971,ID1-51
France,Ile de Batz,48.75,-4.01,1972,1,52,France_Ile_de_Batz_1971,ID1-52
France,Ile de Batz,48.75,-4.01,1972,1,53,France_Ile_de_Batz_1971,ID1-53
France,Ile de Batz,48.75,-4.01,1972,1,54,France_Ile_de_Batz_1971,ID1-54
France,Ile de Batz,48.75,-4.01,1972,1,55,France_Ile_de_Batz_1971,ID1-55
France,Ile de Batz,48.75,-4.01,1972,1,56,France_Ile_de_Batz_1971,ID1-56
France,Ile de Batz,48.75,-4.01,1972,1,57,France_Ile_de_Batz_1971,ID1-57
France,Ile de Batz,48.75,-4.01,1972,1,58,France_Ile_de_Batz_1971,ID1-58
France,Ile de Batz,48.75,-4.01,1972,1,59,France_Ile_de_Batz_1971,ID1-59
France,Ile de Batz,48.75,-4.01,1972,1,60,France_Ile_de_Batz_1971,ID1-60
France,Ile de Batz,48.75,-4.01,1972,1,61,France_Ile_de_Batz_1971,ID1-61
France,Ile de Batz,48.75,-4.01,1972,1,62,France_Ile_de_Batz_1971,ID1-62
France,Ile de Batz,48.75,-4.01,1972,1,63,France_Ile_de_Batz_1971,ID1-63
France,Ile de Batz,48.75,-4.01,1972,1,64,France_Ile_de_Batz_1971,ID1-64
France,Ile de Batz,48.75,-4.01,1972,1,65,France_Ile_de_Batz_1971,ID1-65
France,Ile de Batz,48.75,-4.01,1972,1,66,France_Ile_de_Batz_1971,ID1-66
France,Ile de Batz,48.75,-4.01,1972,1,67,France_Ile_de_Batz_1971,ID1-67
France,Ile de Batz,48.75,-4.01,1972,1,68,France_Ile_de_Batz_1971,ID1-68
France,Ile de Batz,48.75,-4.01,1972,1,69,France_Ile_de_Batz_1971,ID1-69
France,Ile de Batz,48.75,-4.01,1972,1,70,France_Ile_de_Batz_1971,ID1-70
France,Ile de Batz,48.75,-4.01,1972,1,71,France_Ile_de_Batz_1971,ID1-71
France,Ile de Batz,48.75,-4.01,1972,1,72,France_Ile_de_Batz_1971,ID1-72
France,Ile de Batz,48.75,-4.01,1972,1,73,France_Ile_de_Batz_1971,ID1-73
France,Ile de Batz,48.75,-4.01,1972,1,74,France_Ile_de_Batz_1971,ID1-74
France,Ile de Batz,48.75,-4.01,1972,1,75,France_Ile_de_Batz_1971,ID1-75
France,Ile de Batz,48.75,-4.01,1972,1,76,France_Ile_de_Batz_1971,ID1-76
France,Ile de Batz,48.75,-4.01,1972,1,77,France_Ile_de_Batz_1971,ID1-77
