location,lat,lon,year,label,shell height 1 ,shell height 2,shell height 3,shell height 4,shell width 1,shell width 2,shell width 3,shell width 4,aperture height 1,aperture height 2,aperture height 3,aperture height 4,aperture width 1,aperture width 2,aperture width 3,aperture width 4
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,35.5,35.6,35.6,35.6,21.8,21.9,21.7,21.9,17.7,19.9,18.2,19.2,10.8,12.6,11.3,12.1
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,36.9,36.9,36.9,36.9,21,20.8,21,20.9,19.8,20.5,19.3,19.4,11.3,11.6,11.7,12
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,35,35,35.1,34.7,21.1,21.3,21.3,21.6,14.4,20.1,15.1,19.4,11,11.1,11.3,10.9
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,32.6,32.6,32.7,32.6,20.4,20.7,20.4,20.8,17.2,18.7,16.8,15.8,10.5,11.4,10.7,8.1
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,32.9,37.8,32.9,32.9,20,19.4,20.1,19.7,17.1,18.8,17.1,17.4,10.3,10.3,9.9,10
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,29.8,29.7,29.8,29.8,18.8,18.4,18.7,18.5,14.4,14.8,13.8,14.1,9.7,11.5,10.2,10
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,32.6,32.2,32.3,32.5,19.6,19.8,19.6,19.9,16.1,16.6,16.3,16,9.3,10.8,9.7,9.2
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,33.6,33.6,33.6,33.6,19.8,20.1,20,20.5,17.8,19.4,17.5,17.9,9.2,10.9,9.4,10.5
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,30.4,30.5,30.5,30.4,18.7,18.9,18.6,18.9,15.1,16.6,15.5,16.9,9.3,10.1,9.6,9.7
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,32.8,32.9,32.9,32.9,18.9,19.2,19.1,19.2,16.2,18.6,16.4,17.7,10.3,11.4,10.6,10.6
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,30.2,30.2,30.2,30.2,18.3,18.7,18.6,18.9,11.3,15.4,11.8,14.9,8.7,9.2,8.8,9.1
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,31.5,31.6,31.6,31.6,19,19.2,19.1,19.4,11,16.3,11.6,15.3,8.3,8.7,9,8.8
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,30,30,29.9,29.8,19.5,19.3,19.7,19.7,10.6,15.5,10.7,15.1,5.3,7.7,6.1,8.3
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,37.8,37.8,37.9,37.8,22.4,22.3,22.3,22.6,18.6,19.1,18.4,19.4,11.5,12,11.6,11.3
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,31.7,31.6,31.7,31.7,17.7,17.9,17.5,18.1,14.5,16,14.5,15.1,9.4,9.3,9.6,8.8
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,29.2,29.3,29.3,29.2,18,18.3,18.1,18.3,14.8,15.7,14.4,15.7,9,10,9.6,9.1
Ile de Batz,48.75,-4.01,1972,Ile de Batz  France     48°44'N 4°00'W     Expt. 5      13.07.1972,31.2,31.2,31.2,31.1,19.6,19.8,19.7,20,15.2,16.7,15.7,16.5,10.1,10.6,9.8,10.1
